Collection Title,Skill Tags,Field 6
Microsoft Teams,"Collaborate, Teams, File Sharing, OneNote, Microsoft Office",
Microsoft VBScript Windows Administration,,
Microsoft Visio,,
Microsoft Visio 2010 for IT Professionals,,
Microsoft Visio 2013,"Visio, Visio 2013, Ribbon, Quick Styles, Templates, Diagrams, Visio, Visio 2013, Flowcharts, Charts, Timelines, Network Diagrams, Value Stream Mapping, Data Visualization",
Microsoft Visual Studio 2012 70-480,"Visual Studio, Documentation, Workflows, HTML5, JavaScript, CSS3, Data Objects, Variables",
Microsoft Windows 7 Config 70-680,,
Microsoft Windows 8 70-689,,
Microsoft Windows 8 First Look,,
Microsoft Windows 10 70-697,,
Microsoft Windows 10: Configuring Windows Devices (70-697),", Apps, Office 365, Windows 10, Windows, Windows 10, Windows, Windows 10, Windows, Device Management, Windows Updates, Recovery",
Microsoft Windows 10: Connecting Devices,"Windows 10, Device Management, Network Connectivity, Windows",
Microsoft Windows 10: Deploy and Update,"Windows, Windows 10",
Microsoft Windows 10: Deploying Devices,"Windows, Windows 10, Deployment, WDS, MDT, Windows, Windows 10, User Profiles, User Management, Web Browser, Windows Desktop",
Microsoft Windows 10: Installing and Configuring (70-698),"OS Installation, Windows 10, Windows, Windows, Windows 10, Taskbar, Cortana, Microsoft Edge, Internet Explorer, Hyper-V, Active Directory, Group Policy, User Accounts, UAC, ICD, IPv4, IPv6, Network Connectivity, Windows Firewall, Network Discovery, Network Troubleshooting, VPN, IPsec, Direct Access, Disk Management, Powershell, VHD, Storage, Printers, Permissions, File Sharing, Filesystems, Data Access, MMC, Remote Management, Event Viewer, Task Manager, Printers, Recovery, .NET, Backup, Authentication, Task Scheduler, ",
Microsoft Windows 10: Maintaining Devices,"Windows, Windows 10, Device Management",
Microsoft Windows 10: Manage and Protect,"Windows, Windows 10",
Microsoft Windows 10: Manage Apps and Data,"Windows, Windows 10",
Microsoft Windows 10: Managing Devices,"Windows, Windows 10, NTFS, Permissions, User Management, Group Policy, UAC, Windows Firewall, Encryption",
Microsoft Windows 10: Policies and Profiles,"Windows, Windows 10",
Microsoft Windows 2000 Directory Services 70-217,,
Microsoft Windows 2000 Directory Services Design 70-219,,
Microsoft Windows 2000 Network Infrastructure  70-216,,
Microsoft Windows 2000 Professional 70-210,,
Microsoft Windows 2000 Security 70-214,,
Microsoft Windows 2000 Security Design 70-220,,
Microsoft Windows 2000 Server 70-215,,
Microsoft Windows Essential Business Server Config 70-654,,
Microsoft Windows Server 2003 Active Directory Infrastructure Design 70-297,,
Microsoft Windows Server 2003 Active Directory Infrastructure Implementation 70-294,,
Microsoft Windows Server 2003 Managing 70-290,,
Microsoft Windows Server 2003 Network Infrastructure Implementation 70-291,,
Microsoft Windows Server 2003 Network Infrastructure Maintain 70-293,,
Microsoft Windows Server 2003 Network Security 70-298,,
Microsoft Windows Server 2003 Network Security 70-299,,
Microsoft Windows Server 2008 Active Directory 70-640,"Windows Server, Windows Server 2016, Active Directory, Windows Server, Windows Server 2016, Active Directory, User Management, Windows Server, Windows Server 2016, Active Directory, DNS, Windows Server, Windows Server 2016, Active Directory, Active Directory Certificate Services (AD CS), Windows Server, Windows Server 2016, Active Directory, Backup, Windows Server, Windows Server 2016, Active Directory, Group Policy Objects (GPOs), ",
Microsoft Windows Server 2008 Applications Infrastructure 70-643,,
Microsoft Windows Server 2008 Network Infrastructure 70-642,,
Microsoft Windows Server 2008: Server Core In Depth,,
Microsoft Windows Server 2012 70-410,,
Microsoft Windows Server 2012 70-410 R2,,
Microsoft Windows Server 2012 70-411,,
Microsoft Windows Server 2012 70-411 with R2 Updates,,
Microsoft Windows Server 2012 70-412,,
Microsoft Windows Server 2012 70-413,,
Microsoft Windows Server 2012 70-413 with R2 Updates,"Windows Server, Server 2012, Windows Server, Server 2012, Virtual Machines (VM), Windows Server, Server 2012, DHCP, Windows Server, Server 2012, IPAM, Windows Server, Server 2012, DNS, Windows Server, Server 2012, Storage, Storage Spaces Direct, Windows Server, Server 2012, iSCSI, Windows Server, Server 2012, Active Directory, DirectAccess",
Microsoft Windows Server 2012 70-414,,
Microsoft Windows Server 2012 70-414 with R2 Updates,"Windows Server, Windows Server 2012, Server 2012, Windows Server, Windows Server 2012, Server 2012, System Center, VM Management, Storage, Storage Virtualization, Network Virtualization, Network Architecture, VMM, Windows Server, Windows Server 2012, Server 2012, Virtual Machines (VM), Hyper-V, Windows Server, Windows Server 2012, Server 2012, Automation, VMM, Windows Server, Windows Server 2012, Server 2012, High Availability, Backup, Recovery, Windows Server, Windows Server 2012, Server 2012, Active Directory, Active Directory Federation Services (ADFS), Active Directory Certificate Services (AD CS)",
Microsoft Windows Server 2012 70-416,,
Microsoft Windows Server 2012 70-417,,
Microsoft Windows Server 2012 70-417 with R2 Updates,"Server Migration, Server Configuration, Windows Server, Server 2012, Windows Server, Server 2012, Remote Management, Storage, Storage Devices, Hyper-V, Hyper-V Storage, Hyper-V Networking, Windows Server, Server 2012, Domain Controllers, Active Directory, Group Policy, Monitoring, Network Configuration, Network Monitoring, Server 2012, Windows Server, Network Monitoring, Network Services, Server 2012, Windows Server, Windows Server, Server 2012, Active Directory, Group Policy, Domain Controllers, Windows Server, Server 2012, Storage, Clustering, VM Management, Fault Tolerance, Access Control, IPAM, Federation Services",
Microsoft Windows Server 2012 First Look,,
Microsoft Windows Server 2012 MCSA 70-412 with R2 Updates,,
Microsoft Windows Server 2012 with R2 Updates (70-412),", Server 2012, Windows Server, Network Load Balancing (NLB), Server 2012, Windows Server, Clustering, Virtual Machines (VM), Storage, NFS, Access Control, Server 2012, Windows Server, Fault Tolerance, Backup, Recovery, Server 2012, Windows Server, Active Directory Federation Services (ADFS), Server 2012, Windows Server, DHCP, IPv6, Multicast, DNS, Failover, Server 2012, Windows Server, IPAM, IP Addressing, Server 2012, Windows Server, DNS, Server 2012, Windows Server, Active Directory Certificate Services (AD CS), Active Directory, Server 2012, Windows Server, Active Directory",
Microsoft Windows Server 2012: Administering (70-411),", Windows Server, Windows Server 2012, WDS, Images, WSUS, Monitoring, Server Monitoring, Network Policy Solutions (NPS), Policies, Windows Server, Windows Server 2012, DFS, FSRM, Encryption, Auditing, Policies, Network Services, DNS, Remote Access, VPN, WAP, DirectAccess, Windows Server, Windows Server 2012, Active Directory, Authentication, Domain Controllers, Policies, User Accounts, Group Policy, Group Policy Objects (GPOs)",
Microsoft Windows Server 2012: Installing and Configuring (70-410),", Server Configuration, Server Installation, Windows Server, Windows Server 2012, Roles, Remote Servers, DSC, Storage, Storage Pools, VHD, Server Roles, Windows Server, Windows Server 2012, Server Roles, Windows Server, Windows Server 2012, Permissions, Enumeration, NTFS, Printers, WinRM, Windows Firewall, Windows, Windows Server, Hyper-V, Hyper-V Configuration, Network Services, Windows, Server Configuration, Windows Server, Windows Server, Active Directory, Group Policy, Windows",
Microsoft Windows Server 2016: Identity (70-742),"Windows Server, Windows Server 2016, Active Directory, Active Directory Domain Services (AD DS), Windows Server, Windows Server 2016, Active Directory, User Management, OUs, Group Policy, Windows Server, Windows Server 2016, Active Directory, User Management, User Accounts, OUs, Group Policy, Windows Server, Windows Server 2016, Authentication, Service Accounts, SPNs, Active Directory, Windows Server, Windows Server 2016, Active Directory, Authentication, Active Directory Certificate Services (AD CS), Active Directory Federation Services (ADFS), SPNs, Service Accounts",
Microsoft Windows Server 2016: Installation,,
"Microsoft Windows Server 2016: Installation, Storage, and Compute (70-740)","Windows Server 2016, Windows, Monitoring, System Maintenance, Implementation, Windows Server, Windows Server 2016, Windows, Storage Solutions, Windows Server, Windows Server, Windows, Windows Server 2016, Windows Containers, Containers, Hyper-V, Hyper-V Storage, Hyper-V Installation, Hyper-V Configuration, Hyper-V Networking, Windows Server, Windows, Windows Server 2016, High Availability",
Microsoft Windows Server 2016: Networking (70-741),", Windows Server, Windows Server 2016, DNS, Windows Server, Windows Server 2016, DHCP, IPv6, Multicast, Windows Server, Windows Server 2016, IPAM, IP Addressing, Windows Server, Windows Server 2016, Network Connectivity, Remote Access, DirectAccess, VPN, Site-to-site, RADIUS, Network Address Translation (NAT), PAT, Windows Server, Windows Server 2016, IPv4, IPv6, Windows Server, Windows Server 2016, Software Defined Networking (SDN), SLB, QoS, DFS, Namespaces",
Microsoft Windows Vista Configuring 70-620,"Windows Vista, Windows Vista, OS Installation, Security, Windows Defender, Windows Firewall, Network Connectivity, Remote Access, Wireless Access Points, Remote Desktop, Network Troubleshooting, Windows Vista, Windows Vista, System Maintenance",
Microsoft Windows Vista OS First Look,,
Microsoft Windows XP Professional Admin 70-270,,
Microsoft Word 2011 for Mac,,
Microsoft Word 2016,"Text, Formatting, Collaborate, Tables, Quick Styles, Templates, Documentation, Mail Merge, Text, Charts, Indexes, Reference, Citation, Macros",
Microsoft Word 2019,"Microsoft Office, Microsoft Word, Word 2019, Microsoft Office, Microsoft Word, Word 2019, Text, Formatting, Microsoft Office, Microsoft Word, Word 2019, Text, Formatting, Tables, Microsoft Office, Microsoft Word, Word 2019, Formatting, Functions, Microsoft Office, Microsoft Word, Word 2019, Formatting, Templates, Microsoft Office, Microsoft Word, Word 2019, Collaborate, Microsoft Office, Microsoft Word, Word 2019, Reference, Citation",
Microsoft Word for Office 365,"Microsoft Office, Microsoft Word, Office 365, Microsoft Office, Microsoft Word, Office 365, Text, Formatting, Microsoft Office, Microsoft Word, Office 365, Text, Formatting, Tables, Microsoft Office, Microsoft Word, Formatting, Office 365, Microsoft Office, Microsoft Word, Word 2019, Collaborate, Microsoft Office, Microsoft Word, Word 2019, Formatting, Functions, Microsoft Office, Microsoft Word, Reference, Citation, Office 365",
Migrating Windows XP to Windows 7 and/or 8: An Accelerated Guide,,
Monitoring and Tuning Database Performance,"Performance, 12c",
Moving Data,"Storage, Storage Management, 12c",
MPLS Fundamentals,"MPLS, VRF, LDP, Protocols, LSP",
MPulse,,
MPulse MicroNuggets,,
Multi-Carrier BGP,,
MySQL Database 5.0 Administrator 1 005-002,,
MySQL Database 5.0 Administrator 2 006-002,,
MySQL Database CMA 010-002,,
Navigate and Personalize Salesforce Lightning,"Salesforce, Lightning",
NetApp Certified Storage Associate (NCSA) NS0-145,"Storage, Data Storage, Storage, Hardware, Configuration, System Maintenance, Resource Management, Resource Management, System Maintenance, Storage, Storage, Hardware, Load Balancing",
Network Firewall Fundamentals,,
Network+ Certification Series,,
Networking Fundamentals,", TCP, UDP, Remote Management, Remote Access",
Nugget Challenge: Excel Pivot Tables,,
Object-Oriented Programming with Python,,
Oracle Certified Professional (OCP),,
Oracle Database 9i/10g DBA 1,,
Oracle Database 12c: SQL Fundamentals (1Z0-071),"Database, SQL, Oracle, RDS, Tables, Data Modeling, ",
Oracle Database Architecture,"Database Architecture, 12c",
Oracle Database OCA 11g DBA 1 1Z0-052,,
Oracle Database OCA 11g SQL Fundamentals 1 1Z0-051,,
Oracle Network Environment Configuration,"Network Configuration, 12c",
Palo Alto Networks Firewall,"GNS3, DMZ, Server Access, Firewalls, Port Security, Protocol Security, Network Address Translation (NAT), SSL, Encryption, URL Filtering, Antivirus, Vulnerabilities, LDAP, Authentication, SSL, VPN, Certificates, Profiles, Security Policies, IPsec, Cisco IOS, Profiles, High Availability, Dynamic Routing",
Palo Alto Networks Firewall Troubleshooting,,
Palo Alto Networks: Firewall,,
Penetration Testing with Linux Tools,"Linux, Linux Security, Penetration Testing, Open Source, Network Security, BackTrack, Wireless, Wireless Security, Wireless Access Points, Linux, Linux Security, Penetration Testing, Open Source, Network Security, Network Attacks, Network Defense, Kali, Penetration Tools, Linux, Linux Security, Penetration Testing, Open Source, Network Security, Network Attacks, Vulnerabilities, Attack Types",
Photoshop CS6 for Developers,"Photoshop, Graphic Design",
Photoshop Fundamentals,,
Plan and Configure a Small Network: Fundamentals,,
PMI Agile Certified Practitioner (PMI-ACP)<sup>&reg;</sup>,,
PMI Project Management PMP,,
PMP Certification Series,,
PMP: Introduction to Project Management,PMP,
PowerShell 3 Foundations,,
PowerShell Toolmaking and Scripting,,
Practical Python,,
PRINCE2® Foundation,,
PRINCE2®: Foundation,", Project Tools, Project Development, Project Tools, Project Development, Organizational Manangement, Project Tools, Project Development, Deliverables",
Professional Course: Building a Network Design that Works,"Network Design, Network Architecture, Planning, Switching, VLAN, STP, Network Design, Network Architecture, Subnetting, Network Design, Network Architecture, Layer 3, Switching, Edge Devices, SNMP, Monitoring, Network Design, Network Architecture, Planning, Wireless, WAP",
Project Management for the Real World,"Project Development, Project Tools, Professional Communication, Professional Communication, Risk Management, Budget Management",
Project Management Professional (PMP)® 2016,,
Project Management Professional (PMP)<sup>&reg;</sup> for the PMBOK<sup>&reg;</sup> Guide Fifth Edition,,
Project Management Professional (PMP)<sup>®</sup> Certified Associate in Project Management (CAPM)<sup>®</sup> Certification (u2),,
Puppet Fundamentals,Puppet,
Python,,
Python Programming,"Python, Variables, Logic, Loops, Collections, Functions, OOP, Python, PyQT, PyPI",
Python Programming Python Language,,
Querying Databases with Python,,
ReactJS,"Elements, Components, Rendering, JSX, JavaScript, Web Development",
Remote Mgmt Access Fundamentals,,
Respect in the Workplace,,
Salesforce Admin - Classic Interface,"Leads, Salesforce Apps, Objects, Dashboard, Tasks, User Management, Reports, Charts, Dashboard, Custom Fields, Page Layouts, Security Controls, Data Management, Objects",
Salesforce AppExchange and Third-Party Apps,,
Salesforce for Business Users - Classic Interface,,
Salesforce Intermediate,,
Salesforce Lightning for Business Users,"Navigation, Data Analysis, Data Management, User Accounts, Contacts, Leads",
Salesforce PM,,
Scratch 2.0 Programming,,
Scrum Certification,,
Scrum Essentials,"Scrum, Agile, Sprint Planning, Sprint Execution",
Secure Identities with Azure,"Azure, Secure Identities",
"Azure Security, Privacy, Compliance, and Trust","Azure, Compliance, Privacy, Security",
Security Background and Foundational Knowledge Series -- 2004 Series,
Security+ Series 2005,,
Security+ Updates DO NOT RELEASE,,
Selling in the New Age,,
Server+ 2005 Update,,
Server+ Certification Series,,
Soft Skills for ScrumMasters,,
Software-Defined Switching and Routing with VMware NSX,"Software Defined Networking (SDN), NSX, Software-defined Switching",
Storage,,
Streamline With Salesforce Lightning,Salesforce,
Summarize Physical Security Measures,"Security, Physical Security",
Sun Programming SCJP CX-310-035,,
Tableau Essentials,"Tableau, Data Prep, Worksheet, JOINs, Charts, Dashboard, Tableau Server, Datasources",
TCP and UDP Fundamentals,,
TCP/IP Protocol Fundamentals,"TCP/IP, Protocols",
Transition to Salesforce Lightning for Business Users,"Salesforce, Lightning",
Ubuntu,"Linux OS, Linux, Ubuntu, Linux OS, Linux, Ubuntu, Linux Services, Security, Virtualization",
UCS Concepts,"UCS, Data Center",
Upgrading to Oracle Database 12c,"12c, Upgrade",
Using iOS 11,,
Using Oracle Database Cloud Service,Cloud Service,
Using Palo Alto v8.x Advanced Features,"URL Filtering, Firewalls, Antivirus, SSL, Decryption, Threat Defense, Data Filtering, Firewalls, Security, Profiles, Policies, LDAP, Active Directory, High Availability, Certificates, Firewalls, Security, ACC",
Using Skype for Business,Skype,
Using Windows 10,,
VBScript to Windows PowerShell,,
vCenter Orchestrator 5.5 Foundations for vSphere Administrators,,
VMware 3.5 VCP (update),,
VMware 6.7 Updates,,
VMware Horizon 6 (with View),"VMWare, Horizon View, VMWare, Horizon View, vCenter Server, View Agent, RDS, VMWare, Horizon View, RDS, VMWare, Horizon View, Linked Clones",
VMware NSX Introduction and Installation,", NSX, Software Defined Networking (SDN), NSX, vSphere, vSphere Distributed Switch, vSphere Deployment, NSX, VXLAN, VTEP, ESXi, ESXi Host",
VMware VCA-DCV,"Hypervisor, ESXi, vMotion, vCenter Server",
VMware Virtualization Infrastructure 3 VCP Course,,
VMware Virtualization VCP vSphere 4,,
VMware Virtualization VCP vSphere 5,,
VMware vSphere 5.5 VCA-DCV VCP5-DCV,,
VMware vSphere 5.5 VCP5-DCV,"Hypervisor, vSwitch, vSphere, Trunking, vSphere, Storage, vSphere, vSphere Storage, iSCSI, Storage Virtualization, vSphere Distributed Switch, vMotion, DRS, Affinity, Snapshots, Virtual Memory, High Availability, Fault Tolerance, Storage, Storage Solutions, Storage Virtualization, ESXi Shell, CLI, ",
VMware vSphere 6 (VCP6-DCV),"vSphere, Hypervisor, vCSA, Virtual Machines (VM), Datastore, vSphere Networking, Virtual Switch, iSCSI, vSphere, ESXi, Active Directory, DNS, NFS, Datastore, vMotion, DRS, vApps, Resource Pools, Storage, vSphere Distributed Switch, Network Policies, vSwitch, Datastore, vApps, High Availability, Affinity, Virtual Machines (VM), Fault Tolerance, Storage Policies, SAN, VSAN, LDAP, vSphere, ESXi Host, Security, Virtual Machines (VM), Fault Tolerance, Storage Policies, SAN, VSAN, LDAP, vSphere",
VMware vSphere 6.5 (VCP6.5-DCV) with 6.7 Updates,", vSphere, Hypervisor, ESXi, DCUI, VMWare, vCSA, vCenter Server, Virtual Machines (VM), ???",
Web Development Administering Internet Information Services 7.0 and 7.5 IIS,,
Web Development: Lay Out and Update Web Pages,,
What's New in Office 2016,"Charts, Collaborate, Outlook, PowerPoint, Excel, OneNote",
What's New in Office 2019,,
What's New in Server 2016?,,
What's New in SharePoint 2016,,
White Hat Hacking v8,,
White Hat Hacking v9,"White Hat, Hacking, White Hat, Hacking, Enumeration, White Hat, Hacking, Sniffing, Remote Access, White Hat, Hacking, Security",
White Hat Hacking v10,"Linux Security, Security, Hacking, White Hat, Linux Security, Security, Hacking, White Hat, Enumeration, Linux Security, Security, Hacking, White Hat, System Hacking, Linux Security, Security, Hacking, White Hat, Penetration Testing, Malware, Linux Security, Security, Hacking, White Hat, Sniffing, Linux Security, Security, Hacking, White Hat, Social Engineering, Linux Security, Security, Hacking, White Hat, DoS/DDoS, Linux Security, Security, Hacking, White Hat, Session Hacking, Linux Security, Security, Hacking, White Hat, Firewalls, IDS, Honeypots, Linux Security, Security, Hacking, White Hat, Public Web Server, Linux Security, Security, Hacking, White Hat, SQL Injection, Linux Security, Security, Hacking, White Hat, Wireless Networks, Wireless Security, Linux Security, Security, Hacking, White Hat, Mobile Devices, Mobile Security, Mobile Device Management, Linux Security, Security, Hacking, White Hat, Cloud Computing, Linux Security, Security, Hacking, White Hat, Cryptography, Linux Security, Security, Hacking, White Hat, Authentication, Access Management, Protective Controls, Linux Security, Security, Hacking, White Hat, IoT",
WiFi Protocols and Security Fundamentals,,
Windows 10 Power User,"Windows 10, Cortana, Command Prompt, DHCP, Domain Controllers, Active Directory",
Windows IPv4 Troubleshooting Fundamentals,,
Windows NT 4,,
Windows NT 4 TCP/IP,,
Wireshark,"Wireshark, Network Scanning, Network Analysis, Remote Monitoring, Wireshark, Reports",
Workforce Security Awareness,,
Zend Web Development PHP 5ZCE,,
